"","name","rating","latitude","longitude"
"1","Time Warp",4,47.6136115882726,-122.3191888
"2","Sol Liquor Lounge",4.5,47.62460938971,-122.32560712946
"3","The Lab at Ada's",4,47.62268,-122.31286
"4","Rose Temple",4.5,47.6198009569417,-122.322080077087
"5","The Doctor's Office",4.5,47.619373,-122.324421
"6","Needle and Thread",4,47.61324,-122.3166
"7","Liberty",4,47.623588,-122.312936
"8","Unicorn",4,47.6142899,-122.31757
"9","Bar Vacilando",4,47.62216,-122.31285
"10","Gold Bar Capitol Hill",4,47.6176032777469,-122.3265992
"11","Foreign National",4.5,47.6142234802246,-122.327613830566
"12","Herb & Bitter Public House",4,47.6236381530762,-122.320594787598
"13","Inside Passage",4,47.6137693,-122.328628606576
"14","Bait Shop",4.5,47.624656,-122.320616
"15","Gemini Room ",4.5,47.61388,-122.31785
"16","Olmstead",4,47.621564,-122.320628
"17","Life On Mars",4,47.614232,-122.322399
"18","Kamp Social House",4.5,47.6237494859767,-122.2962827
"19","Bathtub Gin",4,47.6132,-122.34484
"20","Soju Anju Bar",4,47.615912,-122.31726
"21","Harry's Bar",4.5,47.623754,-122.31245
"22","Basecamp Cafe",5,47.6212,-122.32183
"23","Some Random Bar",4.5,47.6155010022786,-122.349802245912
"24","Monsoon Seattle",4,47.62493,-122.3076
"25","Single Shot",4.5,47.624687,-122.325476
"26","Americana",4,47.620582,-122.321255
"27","The Hideout",4,47.60946,-122.32548
"28","Light Sleeper",4,47.613677,-122.317745
"29","Smith",4,47.6214889,-122.312315
"30","Radiator Whiskey",4.5,47.608949,-122.340599
"31","The BottleNeck Lounge",4,47.6199802,-122.301591769378
"32","Montana",4,47.6179347,-122.32635
"33","Corvus & Company",4,47.6245199,-122.3213
"34","The Roanoke",4,47.641732450909,-122.3203359042
"35","Damn the Weather",4,47.6011167,-122.3340814
"36","The Lookout Bar and Grill",3.5,47.626681201439,-122.3267819487
"37","Knee High Stocking",4,47.616978,-122.327395
"38","re:public",4,47.62289,-122.33876
"39","Outer Planet Craft Brewing",4.5,47.6180229187012,-122.316505432129
"40","Pie Bar",4,47.6168122,-122.3274386
"41","ALTITUDE Sky Lounge",3.5,47.62106,-122.33689
"42","Cha Cha Lounge",3,47.61394,-122.31881
"43","The Stumbling Monk",4,47.61939,-122.32428
"44","Nue",4,47.61483,-122.3146
"45","Rachel's Ginger Beer - 12th Avenue",4.5,47.615614820975,-122.316623656483
"46","Hillside Bar",4,47.61833,-122.326
"47","Belltown Provisions",4.5,47.6129820236598,-122.344381045436
"48","Summit Public House",4,47.6244017760816,-122.325471593869
"49","The White Swan Public House",4,47.6288185119629,-122.331748962402
"50","Marmite & Spirit In The Bottle",4.5,47.6136581272692,-122.31771145016
"51","Five Iron Golf - Seattle",4.5,47.6148176318884,-122.3184079
"52","Mini Bar Seattle",4.5,47.648519,-122.343357
"53","Hula Hula",3.5,47.61792,-122.32585
"54","Canon",4,47.61127,-122.31657
"55","The Carlile Room",4,47.613536,-122.33246
"56","Havana",3,47.6141572208507,-122.319155166981
"57","El Lugar",4.5,47.615404,-122.324038
"58","The Pharmacy",4,47.5991768,-122.3334771
"59","Post Pike Bar & Cafe",4.5,47.6204687347681,-122.320642751739
"60","Standard Brewing",4,47.5993491,-122.2996107
"61","Just The Tap",4,47.612459024226,-122.34568096071
"62","Hopvine Pub",3.5,47.6232000420228,-122.312661323743
"63","Deep Dive",4,47.61556,-122.33928
"64","House of Spirits",2.5,47.625306,-122.322023
"65","The Rhino Room",2.5,47.6150657639796,-122.318223577963
"66","Tavern Law",4,47.61324,-122.3166
"67","Belmont",4,47.6142149,-122.3249563
"68","Living Room Bar",4.5,47.60716,-122.33341
"69","Two Doors Down",4,47.62006,-122.30149
"70","2120",4,47.61578,-122.34016
"71","Bar Moxy",3.5,47.62335,-122.33621
"72","Finch & Pine",4.5,47.6256346648876,-122.32677361441
"73","Phocific Standard Time",5,47.61461,-122.33708
"74","Little Oddfellows",4,47.6147127324405,-122.31963776441
"75","Voila! Bistrot",4,47.62352,-122.29587
"76","Rock Box",4,47.61556,-122.32018
"77","Cook Weaver",4.5,47.6252475372909,-122.3217803
"78","SPIN Seattle",4,47.61157,-122.3353
"79","Neighbours Nightclub",3,47.6144015187881,-122.321190973447
"80","True North Taproom",4.5,47.62641,-122.33317
"81","Eastlake Zoo Tavern",3.5,47.639892578125,-122.326248168945
"82","Tapster Seattle",4.5,47.62557,-122.3367
"83","Plenty of Clouds",4,47.6151976358352,-122.312686271692
"84","TeKu Tavern + Cafe",4,47.618669,-122.346080844143
"85","The Nest",3.5,47.610611,-122.341329
"86","Stampede Cocktail Club",4.5,47.65251,-122.35677
"87","Cottontail",5,47.6149754762012,-122.343636401891
"88","Le Faux",3.5,47.6212525,-122.3205877
"89","The Raygun Lounge",4,47.6150589,-122.3252106
"90","Gantry Public House",4,47.5944310320626,-122.333445343237
"91","Vermillion",4,47.614424,-122.317755
"92","Rapport",4,47.6252713311894,-122.3208533
"93","Bar Cotto",4.5,47.6146934,-122.3127642
"94","Fremont Brewing",4.5,47.6490599,-122.3444326
"95","Surrell",4.5,47.6193851,-122.3018568
"96","Lakeside South Lake Union",4,47.6272,-122.33312
"97","The Victor Tavern",4,47.6151726145861,-122.339970829481
"98","Capitol Hill Comedy / Bar",5,47.6203672117004,-122.320699317297
"99","Von's 1000 Spirits",4.5,47.606565,-122.338337
"100","Boat Bar",4,47.6130477025678,-122.318391376838
