name,rating,comment,latitude,longitude
Time Warp,4.0,"Drinks= STRONG
Service= Above & beyond
Games=Never seen such insane UX on a pinball game
Ramen= Diverse

Went here tonight for the first time. Was so hype...",47.61361158827256,-122.3191888
Time Warp,4.0,"We came here on our first night in Seattle.
It was a fun spot on a Saturday night. We loved the Walking Dead shooting game and the Golden Axe adventure...",47.61361158827256,-122.3191888
Time Warp,4.0,"Time Warp is super cool, and a great addition to the hill! This place is brand new and you can tell they're still working out the kinks of recently opening,...",47.61361158827256,-122.3191888
Sol Liquor Lounge,4.5,"Great vibes, great cocktails, tiki Tuesday first Tuesday of every month. Marked my calendar for next month. The bartender Blake made the whole experience...",47.62460938971,-122.32560712946
Sol Liquor Lounge,4.5,My friends and I trekked over here for cocktails a few weeks ago. Sol is always the first result when I search for bars in Capitol Hill and so I knew we had...,47.62460938971,-122.32560712946
Sol Liquor Lounge,4.5,"Decent cocktail bar with rotating cocktail flights menu (when I visited, they did the negroni flight). I have had negroni before so I opted to go for their...",47.62460938971,-122.32560712946
The Lab at Ada's,4.0,We didn't do an event here but our experience still seems like people should know about. We wanted to have our tiny wedding and dinner at The Lab. After two...,47.62268,-122.31286
The Lab at Ada's,4.0,"This is a lovely space for a personal event! We wanted a space that was low key, unique, furnished, cozy, with delicious food. No big deal. Our guest list...",47.62268,-122.31286
The Lab at Ada's,4.0,Beautiful not-too-big event space with fantastic service. I would love to hold an event here some day.,47.62268,-122.31286
Rose Temple,4.5,Quick service. 21+ only. Order at the bar. Not a ton of seating but great ambiance. Dark and great for date night or girls night. Had the French fries too...,47.6198009569417,-122.322080077087
Rose Temple,4.5,"Loved the ambiance. Visited this place for happy hour and got their special cocktail with fries/queso.
Everything was delicious..!
Highly recommend their...",47.6198009569417,-122.322080077087
Rose Temple,4.5,The food was amazing. Go on a day when there is lumpia and get your LIFE! Also the rib special was incredibly delicious. The bartender was super sweet and...,47.6198009569417,-122.322080077087
The Doctor's Office,4.5,"They have a weekly menu you can order off of, but also an extensive menu of all previous concoctions, which they also let you order off of.

The menu is...",47.619373,-122.324421
The Doctor's Office,4.5,"This is the only Doctor's office that I will always be excited to visit. They may not dispense any prescription medications, but they do serve up some...",47.619373,-122.324421
The Doctor's Office,4.5,The best stirred cocktails in the United States. Truly. I'm convinced & no one can change my mind. While there isn't much to snack on other than some mixed...,47.619373,-122.324421
Needle and Thread,4.0,Food: Good selection - you can get anything off of the Tavern Law menu downstairs if you are hungry. We had the mac n cheese and it was great! The drinks...,47.61324,-122.3166
Needle and Thread,4.0,What a glorious find in downtown Seattle. Hidden underneath the Amazon sphere lies another world of crafted cocktails with delicious a la carte food items...,47.61324,-122.3166
Needle and Thread,4.0,"Expensive but worth it.

They cater to your every want and need with their house crafted drinks. The first drink was amazing but the second one after I made...",47.61324,-122.3166
Liberty,4.0,"great place to destress.

im going to be so honest, i dont remember what i order when i go here, but you cant go wrong with whatever you choose. 

shoutouts...",47.623588,-122.312936
Liberty,4.0,I just love randomly stopping by with my dog and enjoying a drink after running errands all day or just having a night out with friends. This is a late...,47.623588,-122.312936
Liberty,4.0,"Love their sushi rolls, and I love the wait staff. They were so friendly and unobtrusive, it made the experience all the better. The space is fairly small,...",47.623588,-122.312936
